Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-07-18 22:32:04;2018-07-19 07:20:47;87%;8:48;;;0;12054
2018-07-19 23:43:13;2018-07-20 07:39:09;100%;7:55;;;0;6690
2018-07-20 22:02:12;2018-07-21 07:09:38;59%;9:07;;;0;3245
2018-07-21 22:28:55;2018-07-22 07:00:41;69%;8:31;;;0;2163
2018-07-22 21:56:40;2018-07-23 06:57:45;100%;9:01;;;0;2123
2018-07-23 22:59:18;2018-07-24 06:55:40;93%;7:56;;;0;6475
2018-07-25 00:50:06;2018-07-25 08:03:53;90%;7:13;;;0;11227
2018-07-25 23:35:37;2018-07-26 07:50:38;97%;8:15;;;0;9309
2018-07-26 23:34:51;2018-07-27 07:53:23;96%;8:18;;;0;12245
2018-07-28 02:06:21;2018-07-28 09:21:55;76%;7:15;;;0;4967
2018-07-29 02:26:02;2018-07-29 09:01:10;73%;6:35;;;0;24115
2018-07-29 22:31:29;2018-07-30 06:36:31;85%;8:05;;;0;11993
2018-07-30 23:07:29;2018-07-31 06:54:52;75%;7:47;;;0;7731
2018-07-31 22:05:32;2018-08-01 06:52:31;100%;8:46;;;0;5815
2018-08-01 21:40:36;2018-08-02 06:53:09;100%;9:12;;;0;8712
2018-08-02 23:50:39;2018-08-03 08:31:39;100%;8:40;;;0;8639
2018-08-04 00:45:22;2018-08-04 09:35:09;100%;8:49;;;0;3618
2018-08-05 00:37:05;2018-08-05 09:13:15;80%;8:36;;;0;2854
2018-08-05 23:18:37;2018-08-06 07:15:40;96%;7:57;;;0;1513
2018-08-06 22:25:09;2018-08-07 07:30:26;100%;9:05;;;0;16230
2018-08-07 23:19:27;2018-08-08 07:02:26;80%;7:42;;;0;9619
2018-08-08 22:29:03;2018-08-09 06:54:23;100%;8:25;;;0;629
2018-08-09 21:31:59;2018-08-10 06:17:56;100%;8:45;;;0;5880
2018-08-11 02:21:19;2018-08-11 09:37:10;81%;7:15;;;0;7574
